country_name,Adjusted net national income per capita (current US$),"Compulsory education, duration (years)",Employment in services (% of total employment) (modeled ILO estimate),Gross savings (% of GNI),"Hospital beds (per 1,000 people)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)",Population growth (annual %),Urban population (% of total population)
Afghanistan,458.3707378,9,39.39599991,18.55866619,0.5,2.302372515,21.61868908,2.311817217,25.754
Albania,4201.077084,9,43.6629982,14.43880178,2.9,1.41109079,41.47173385,-0.426007367,61.229
Algeria,3098.851733,10,59.63800049,38.38353834,1.9,1.951768211,17.67155914,1.933950191,73.189
Angola,1028.564719,6,41.73099899,27.28062477,0.8,17.14531994,50.29310895,3.242982603,66.177
Argentina,9631.763691,14,78.86399841,17.34582732,5,53.54830435,42.91703853,0.993397493,91.991
Armenia,3533.883531,12,53.58800125,9.06381825,4.2,1.443446608,46.13323344,0.201539723,63.219
Australia,43345.8711,10,77.73300171,22.94258321,3.8,1.610767873,46.5683835,1.515984454,86.124
Austria,42094.99701,13,71.47499847,28.21245924,7.6,1.530895534,46.40260885,0.412539809,58.515
Azerbaijan,3298.410735,10,49.53300095,30.53460974,4.7,2.608339565,48.765956,0.837019639,56.031
"Bahamas, The",24321.49534,12,83.89099884,13.44670168,2.9,2.491235274,47.40306732,0.991335935,83.132
Bahrain,20094.28437,9,63.95299911,31.6361834,2,2.084812496,19.77524288,4.469239009,89.394
Bangladesh,1618.959962,5,40.60599899,34.06994376,0.8,5.591996399,30.63011036,1.042001128,37.405
Barbados,15199.61333,11,78.51000214,5.612724716,5.8,4.100289645,49.48005647,0.133875829,31.158
Belarus,5153.212101,9,58.99100113,28.55181295,11,5.59815595,48.92760109,-0.17564847,79.044
Belgium,38859.97107,12,78.41699982,24.15083913,6.2,1.43681957,46.20768917,0.497584972,98.041
Belize,3612.149562,8,67.66999817,10.27982301,1.3,6.857370923,38.98329987,1.883110736,45.866
Benin,1007.972679,6,42.94200134,19.91985155,0.5,-0.915681573,49.22276016,2.715105359,47.861
Bhutan,2640.837765,9.923913043,34.30899811,23.73680273,1.7,2.725821043,40.57273031,1.146382274,41.612
Bolivia,2735.045914,14,50.27299881,14.53478626,1.1,1.83954505,44.11862785,1.399098368,69.773
Bosnia and Herzegovina,5176.748361,9,52.59899902,15.39436162,3.5,0.562782154,39.25354532,-0.692206409,48.626
Botswana,5852.257138,9.923913043,61.50999832,36.108536,1.8,2.772864429,48.64073782,2.175290909,70.172
Brazil,7483.434669,14,71.28900146,12.52485389,2.2,3.732976212,43.58893597,0.751548427,86.824
Brunei Darussalam,24019.61004,9,82.82900238,52.15525399,2.7,-0.390522069,43.02941203,1.002737318,77.942
Bulgaria,8148.288328,11,63.65200043,24.20946288,6.8,3.103729448,46.18289048,-0.703905641,75.347
Burkina Faso,605.1203418,10,41.41999817,22.8126233,0.4,-3.23338934,44.53594415,2.844222553,29.98
Burundi,205.6004814,9.923913043,6.537000179,4.346989576,0.8,-0.686772171,51.81941244,3.128967114,13.366
Cabo Verde,2827.993062,10,66.78199768,35.80467952,2.1,1.107509306,44.22515223,1.127924314,66.195
Cambodia,1185.67785,9.923913043,39.20800018,26.62662139,0.8,2.4579649,48.34087407,1.44639338,23.805
Cameroon,1212.501517,6,42.07899857,17.84438402,1.3,2.452802141,46.98112271,2.584247107,56.968
